Model,Train_Accuracy,Test_Accuracy,Cross_val_score,Log_Loss
Logistic Regression,0.535,0.46,0.50875,0.7030496447332771
KNeighbors Classifier,0.765,0.515,0.5125,4.18140781113004
Decision Tree,0.54125,0.54,0.5375,0.7072942730352048
Random Forest,0.97,0.54,0.52125,0.7008308040133703
AdaBoost,0.56375,0.47,0.5274999999999999,0.7353652579271315
Gradient Boosting,0.985,0.435,0.53125,0.9604949195356131
XGBoost,0.9025,0.45,0.5349999999999999,0.789419861002559
SVM,0.5175,0.54,0.5175000000000001,0.6920661686099746
